"funny","is-property-of","Einstein","people",1
"desolate","is-opposite-of","busy","properties",1
"organic","is-property-of","nature","nature",1
"snow","is-part-of","winter","nature",1
"dirty","is-related-to","kitchen","culture",1
"big","is-property-of","structure","culture",1
"complex","is-related-to","difficult","properties",1
"saxophone","is-a","woodwind instrument","culture",1
"circle","is-a","oval","graphics",1
"display","is-same-as","screen","culture",1
"growth","is-part-of","nature","nature",1
"blue","is-related-to","sea","nature",1
"reproduction","is-part-of","life","nature",1
"Little Red Riding Hood","is-a","girl","media",1
"brainstorm","is-same-as","meeting room","culture",1
"grass","is-part-of","garden","culture",1
"intense","is-property-of","contest","culture",1
"Exocet","is-a","engraved","graphics",1
"tasmanian devil","is-a","marsupial","nature",1
"fluorescent","is-related-to","black light","culture",1
"sad","is-related-to","leaf","nature",1
"Judaism","is-a","religion","culture",1
"summer","is-a","season","nature",1
"sonar","is-related-to","whale","culture",1
"Denmark","is-a","country","geography",1
"Information Age","is-part-of","history","history",1
"green","is-opposite-of","purple","graphics",1
"fast","is-property-of","black metal","sound",1
"cold","is-property-of","steel","culture",2
"bug","is-same-as","insect","nature",1
"elegant","is-property-of","crane","nature",1
"merchant","is-related-to","Venice","history",1
"puzzle","is-a","problem","culture",1
"intimate","is-property-of","whisper","culture",1
"spear","is-part-of","phalanx","history",1
"complex","is-property-of","sea urchin","nature",1
"open-minded","is-related-to","skeptical","properties",1
"revolution","is-opposite-of","election","culture",1
"thick","is-property-of","fog","nature",2
"expensive","is-property-of","university","science",1
"scared","is-effect-of","scary","properties",1
"smooth","is-property-of","dolphin","nature",1
"diamond","is-related-to","civil war","culture",1
"dishonest","is-property-of","burglar","culture",1
"ruin","is-effect-of","decay","culture",1
"expensive","is-property-of","petroleum","culture",1
"scary","is-property-of","thunder","nature",1
"big","is-property-of","surprise","emotion",1
"terrible","is-property-of","apocalypse","culture",1
"Charles Baudelaire","is-a","poet","people",1
"throne","is-related-to","king","culture",1
"waterfall","is-part-of","river","nature",1
"sheep","is-a","mammal","nature",1
"red","is-property-of","fire","people",2
"Siegfried","is-part-of","Nibelungenlied","history",1
"3","is-same-as","three","culture",1
"passionate","is-property-of","feminine","properties",1
"angry","is-property-of","zombie","media",1
"snow","is-related-to","arctic","nature",1
"Mississippi","is-part-of","The South","geography",1
"metal","is-property-of","pétanque ball","culture",1
"sensational","is-property-of","circus","media",1
"green","is-property-of","algae","nature",1
"simple","is-property-of","pseudoscience","culture",1
"grassland","is-related-to","horse","nature",1
"healthy","is-related-to","pine","nature",1
"cake","is-related-to","oven","culture",1
"Underware","is-related-to","Dolly","graphics",1
"calm","is-property-of","physician","people",2
"kitchen","is-a","room","culture",1
"Madison","is-part-of","Wisconsin","geography",1
"zombie","is-related-to","shamble","media",1
"high-visibility clothing","is-related-to","safety","culture",1
"river","is-related-to","bridge","culture",1
"11","is-same-as","eleven","culture",1
"polo","is-a","animal sport","culture",1
"intricate","is-related-to","machine","culture",1
"sly","is-property-of","squid","nature",1
"Sweden","is-a","country","geography",1
"blond","is-property-of","hair","people",1
"0","is-a","number","culture",1
"rough","is-related-to","sex","nature",1
"Gillette","is-a","brand","culture",1
"repetitive","is-related-to","irritating","properties",1
"candy","is-a","food","culture",1
"wet","is-property-of","squid","nature",1
"intelligent","is-property-of","nerdy","properties",1
"Hokkaido","is-a","island","geography",1
"piece","is-part-of","the whole","culture",1
"cat","is-related-to","steppe","nature",1
"safe","is-related-to","stuffed animal","culture",1
"King Kong","is-related-to","Empire State Building","media",1
"croissant","is-part-of","breakfast","culture",1
"hangover","is-related-to","alcohol","culture",1
"badland","is-a","barren","nature",1
